Company Name,Primary Category,Vendor Scale,Local Vendor Priority,Address,City,State,Phone,Website,Latitude,Longitude,Map Status,Priority,Verification Status,Source URL,Notes,Oilfield Specific Fit,Location Role / Satellite Type,Expansion Source,Original Latitude,Original Longitude,Map Offset Applied,Duplicate Cleanup Action,Address Completeness,Hover Separation Group,Hover Group Size,Map Behavior
"Arrow Pump & Supply, Inc.",Oilfield Supply / Pumps / Production Equipment,Local / Regional,High,Exact address pending,Pawhuska,OK,Needs direct confirmation,https://www.thomasnet.com/suppliers/oklahoma/all-cities/oil-field-equipment-supplies-54630801,36.667800,-96.337200,City-level geocode; exact yard pending,Medium,Company/source verified; direct-call before use,https://www.thomasnet.com/suppliers/oklahoma/all-cities/oil-field-equipment-supplies-54630801,"Oklahoma oilfield equipment/supply lead; qualify pump, rod-pump and production-equipment inventory.",Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,36.6678,-96.3372,,,City centroid / physical address needed,36.667800|-96.337200,1,Single marker; tooltip opens on hover
Latshaw Drilling - Stillwater Yard 1,Drilling Contractor / Rig Yard,Regional / Multi-basin,Standard,203 W. 80th Street,Stillwater,OK,918-355-4380,https://latshawdrilling.com/,36.115600,-97.058400,City-level geocode; address ready,Medium,Source verified; direct call recommended,https://latshawdrilling.com/rig-yards-maintenance/,Latshaw lists Stillwater Yard 1. | Latshaw lists Stillwater Yard 2.,Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,36.1156,-97.0584,,Kept best record; merged/removed 1 duplicate(s): Latshaw Drilling - Stillwater Yard 2,City centroid / physical address needed,36.115600|-97.058400,1,Single marker; tooltip opens on hover
Arrow Engine Company,Pumpjack Engines / Natural Gas Engines,National / Manufacturer,High,2301 E Independence St,Tulsa,OK,(800) 331-3662,http://arrowengine.com/,36.166538,-95.959249,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.arrowengine.com/products/arrow-original-equipment/engines/ ; https://maps.google.com/?cid=6832172469550850324 ; http://arrowengine.com/,"Natural-gas engines for pump jacks, generators and stationary/portable oilfield applications. ; Google Places profile matched Arrow Engine Company; 2301 E Independence St, Tulsa, OK 74110, USA; (800) 331-3662; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield production equipment,Map-profile-enriched provider,Existing V2.7 record,36.154,-95.9928,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,36.166538|-95.959249,1,Single marker; tooltip opens on click
Dallas Morris Drilling,Drilling Contractor,Local / Regional,Medium,City-level office/camp; exact address pending,Tulsa,OK,Needs direct confirmation,,36.154000,-95.992800,Ready after exact address verification,Medium,User-provided contact-list lead; direct call required,User-provided lead; public verification/direct call pending,"Contact-list drilling contractor lead; verify rigs, basin coverage and current address.",User-provided lead; oilfield-specific fit to confirm by service line,Lead / vendor candidate,V2.14 User requested service-category expansion,36.154,-95.9928,,,City centroid / physical address needed,36.154000|-95.992800,6,Stacked at city/coordinate; expands on hover; tooltip opens on hover
"FESCO, Ltd. - Tulsa",Flowback / Completion / Wireline / Lab / Pipeline,Regional / Multi-basin,Medium,Location extraction pending,Tulsa,OK,1-888-221-1859,https://www.fescoinc.com/,36.154000,-95.992800,City-level geocode; exact address pending,High,Company source verified; exact address pending,https://www.fescoinc.com/locations,Tulsa location listed by FESCO; include for Mid-Continent service coverage and direct verification.,Confirmed oilfield specific,V2.7 regional/national expansion,Existing V2.7 record,36.1540,-95.9928,,,City centroid / physical address needed,36.154000|-95.992800,6,Stacked at city/coordinate; expands on hover; tooltip opens on hover
H&P / Helmerich & Payne,Drilling Contractor,National / Multi-basin | National / Major,High | Standard,1437 S Boulder Ave,Tulsa,OK,Needs local office confirmation,https://www.hpinc.com/,36.141600,-95.992800,HQ/address-level geocode approximate; rig locations pending,High,Company source verified; local yards pending | Source verified; direct call recommended,https://www.hpinc.com/,Major U.S. and international drilling contractor; add basin-level field offices/rig districts as extracted. | H&P describes itself as a global drilling contractor delivering drilling rigs and services.,Confirmed oilfield specific,Major drilling contractor | Field office / branch / yard,Existing V2.7 record,36.1416,-95.9928,,Kept best record; merged/removed 1 duplicate(s): Helmerich & Payne (H&P),City centroid / physical address needed,36.141600|-95.992800,1,Single marker; tooltip opens on hover
Innovex Downhole Solutions / Team Oil Tools legacy,Downhole Tools / Completion Tools / Packers,National / Multi-basin,High,10757 East Ute Street,Tulsa,OK,918-949-2043,https://www.innovex-inc.com/,36.154000,-95.992800,Address-level geocode approximate,High,Legacy/source verified; direct call recommended,https://www.rigzone.com/directory/company/605/TeamOilTools/ ; https://www.amberjackcapital.com/news/team-oil-tools-antelope-oil-tool-and-isolation-technologies-merge-to-form-innovex-downhole-solutions,"Team Oil Tools legacy service-center footprint merged into Innovex; qualify current locations for packers/downhole tools in Permian, South Texas, Williston, MidCon, Appalachia, ArkLaTex.",Confirmed oilfield specific,Downhole tool provider,Existing V2.7 record,36.154,-95.9928,,,Physical address / approximate geocode,36.154000|-95.992800,6,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Latshaw Drilling - Tulsa Office,Drilling Contractor | Drilling Contractor / Rig Yard,Regional / Multi-basin,Standard | Medium,"4500 South 129th East Avenue, Suite 150",Tulsa,OK,918-355-4380,https://latshawdrilling.com/,36.154000,-95.992800,City-level geocode; address ready,High,Source verified; direct call recommended | Company source; direct call recommended,https://latshawdrilling.com/contact-us-2/ ; https://latshawdrilling.com/rig-yards-maintenance/ | https://latshawdrilling.com/ | https://latshawdrilling.com/rig-yards-maintenance/,"Latshaw lists Tulsa office and rig yards in Oklahoma and Midland, Texas. | Regional drilling contractor with rig yards in previous dataset; include for MidCon/Permian/Rockies qualification. | Latshaw lists a 40-acre Tulsa rig yard.",Confirmed oilfield specific,Field office / branch / yard | Drilling contractor,Existing V2.7 record,36.154,-95.9928,,Kept best record; merged/removed 2 duplicate(s): Latshaw Drilling; Latshaw Drilling - Tulsa Rig Yard,City centroid / physical address needed,36.154000|-95.992800,6,Stacked at city/coordinate; expands on hover; tooltip opens on hover
TEAM Oil Tools / Innovex Downhole Solutions,Downhole Tools / Completion Tools,National / Multi-basin,Standard,10757 East Ute Street,Tulsa,OK,918-949-2043 / 918-388-0506,https://www.innovex-inc.com/,36.160000,-95.992800,City-level geocode; legacy address ready,Medium,Historical/industry source; current Innovex entity needs local location extraction,https://www.rigzone.com/directory/company/605/TeamOilTools/ ; https://www.amberjackcapital.com/news/team-oil-tools-antelope-oil-tool-and-isolation-technologies-merge-to-form-innovex-downhole-solutions,"TEAM Oil Tools legacy completion/downhole tool company now within Innovex; include for downhole tools, packers, liner hangers and completion products.",Confirmed oilfield specific,V2.4 specialty/service expansion,Existing V2.7 record,36.16,-95.9928,,,City centroid / physical address needed,36.160000|-95.992800,1,Single marker; tooltip opens on hover
Unit Drilling Company,Drilling Contractor,Regional / National capable,Standard,Corporate / Tulsa area,Tulsa,OK,Needs direct confirmation,https://unitcorp.com/subsidiaries/unit-drilling/,36.154000,-95.992800,Direct call recommended,Medium,Needs current ownership verification,https://unitcorp.com/subsidiaries/unit-drilling/ ; https://unitcorp.com/unit-corporation-announces-sale-of-its-contract-drilling-business/,Unit Drilling reports onshore drilling rigs and core operating basins; 2025 sale announcement should be tracked for current ownership/status.,Confirmed oilfield specific,Corporate / drilling contractor,Existing V2.7 record,36.154,-95.9928,,,Physical address / approximate geocode,36.154000|-95.992800,6,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Columbine Corporation - Mid-Continent Operations,Mudlogging / Wellsite Geology / Geosteering,National / Mid-Continent,High,City-level operations office; exact address pending,Weatherford,OK,303-289-7764,https://columbineco.com/,35.526200,-98.707600,City-level placeholder,High,Company source; exact address pending,https://columbineco.com/locations,"Columbine lists Mid-Continent operations in Weatherford, OK.",Confirmed oilfield mudlogging/geosteering fit; exact address to verify.,Regional operations,V2.13 Mudlogging Expansion,35.5262,-98.7076,,,City centroid / physical address needed,35.526200|-98.707600,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Impac Exploration Services - Weatherford,Mudlogging / Geosteering / Lab Analysis,Regional / Mid-Continent,High,City-level lead; exact office pending,Weatherford,OK,580-772-3117,https://impacxs.com/,35.526200,-98.707600,City-level placeholder,High,Company/public profile; direct call required,https://impacxs.com/services ; https://www.zoominfo.com/c/impac-exploration-services-inc/435712077,"Impac describes mud logging, lab analysis, geosteering and data-science services, and lists experience in Texas, New Mexico, Oklahoma, Louisiana, Arkansas, Kansas, Ohio, Pennsylvania, West Virginia and Michigan.",Confirmed oilfield mudlogging/geosteering/lab fit.,Regional mudlogging/geoscience provider,V2.13 Mudlogging Expansion,35.5262,-98.7076,,,City centroid / physical address needed,35.526200|-98.707600,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
"Howell's Well Service, Inc.",Plugging / Well Service,Local / Regional,High,719 Antwine Ave,Wynona,OK,(918) 846-2531,https://oklahoma.gov/content/dam/ok/en/occ/documents/og/ogdatafiles/plugger-list.xlsx,36.5438364,-96.32659609999999,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://oklahoma.gov/content/dam/ok/en/occ/documents/og/ogdatafiles/plugger-list.xlsx ; https://maps.google.com/?cid=16208431911435237090,"Oklahoma OCC statewide plugger list lead ; qualify oilfield P&A availability and radius. ; Google Places profile matched Howell's Well Services Inc; 719 Antwine Ave, Wynona, OK 74084, USA; (918) 846-2531; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,V2.8 town/city adjacency expansion,36.5462,-96.3286,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,36.5438364|-96.32659609999999,1,Single marker; tooltip opens on click
Yellowjacket Oilfield Services - Yukon,Fishing / Rental Tools / Thru Tubing,Regional / Multi-basin,Medium,,Yukon,OK,405-308-4094,https://www.yjosllc.com/,35.506700,-97.762500,City-level geocode; exact address pending,Medium,Company source verified,https://www.yjosllc.com/oilfield-services/fishing-and-rental/,MidCon fishing and thru-tubing services location; add to Oklahoma vendor map.,Confirmed oilfield specific,Satellite service center,Existing V2.7 record,35.5067,-97.7625,,,City centroid / no physical address,35.506700|-97.762500,1,Single marker; tooltip opens on hover
Ayers Petroleum Consulting,Reservoir / Production Engineering,Regional,High,"2400 Ansys Drive, Suite 102",Canonsburg,PA,304-839-4089,https://www.ayerspetroleum.com/,40.275600,-80.166700,Address/city-level geocode,High,Company source verified,https://www.ayerspetroleum.com/about ; https://www.ayerspetroleum.com/services,"Reservoir and production engineering consulting focused on Appalachian Basin; reserves, asset evaluation, rate transient analysis, production management, artificial lift optimization.",Confirmed oilfield specific,Appalachian consulting / reservoir engineering,V2.9 KY/TN expansion,40.2756,-80.1667,,,City centroid / physical address needed,40.275600|-80.166700,1,Single marker; tooltip opens on hover
Columbine Corporation - Appalachian Operations,Mudlogging / Wellsite Geology / Geosteering,National / Appalachia,High,City-level operations office; exact address pending,Canonsburg,PA,303-289-7764,https://columbineco.com/,40.262600,-80.187300,City-level placeholder,High,Company source; exact address pending,https://columbineco.com/locations,"Columbine lists Appalachian operations in Canonsburg, PA; relevant to Marcellus/Utica/Appalachian drilling programs.",Confirmed oilfield mudlogging/geosteering fit; exact address to verify.,Regional operations,V2.13 Mudlogging Expansion,40.2626,-80.1873,,,City centroid / physical address needed,40.262600|-80.187300,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Keystone Clearwater Solutions - Canonsburg,Water Management / Transfer,Regional / Multi-basin,High,6 Four Coins Dr,Canonsburg,PA,Needs direct confirmation,https://keystoneclear.com/,40.262600,-80.187300,City-level geocode; address ready,High,Source verified; direct call recommended,https://keystoneclear.com/ ; https://keystoneclear.com/about/news-item/keystone-clearwater-solutions-announces-expansion-of-automated-water-transfer-services-to-permian-basin/ ; https://www.linkedin.com/company/keystone-clearwater-solutions,"Keystone Clearwater states it has multiple locations in the Appalachian and Permian Basins and provides oil & gas water transfer, pumping, treatment and storage services.",Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,40.2626,-80.1873,,,City centroid / physical address needed,40.262600|-80.187300,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Team Oil Tools / Innovex - Appalachian Lead,Completion Tools / Downhole Tools,National / Multi-basin,High,Exact address pending,Canonsburg,PA,Needs direct confirmation,https://www.innovex-inc.com/,40.262600,-80.187300,City-level geocode; exact yard pending,Medium,Company/source verified; direct-call before use,https://www.innovex-inc.com/,Downhole/completion tool platform lead for Appalachian basin; confirm regional support office/rep.,Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,40.2626,-80.1873,,,City centroid / physical address needed,40.262600|-80.187300,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Venture Energy Solutions,Petroleum Engineering Consulting,Regional,Medium,1603 Ashwood Dr,Canonsburg,PA,(800) 460-5968,http://www.venture-energy.com/,40.2550197,-80.1654712,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://ventureenergysolutions.com/petroleum-engineering/ ; https://maps.google.com/?cid=14646022865102670480 ; http://www.venture-energy.com/,"Appalachian Basin petroleum engineering consulting ; provides analysis/evaluation services. ; Google Places profile matched Venture Energy solutions; 1603 Ashwood Dr, Canonsburg, PA 15317, USA; (800) 460-5968; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,V2.9 KY/TN expansion,40.2612,-80.1873,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,40.2550197|-80.1654712,1,Single marker; tooltip opens on click
Wild Well Control - Canonsburg Training,Well Control Training / Emergency Preparedness,National / Regional,Medium,"380 Southpointe Boulevard, Suite 120",Canonsburg,PA,+1 281-784-4770,https://www.wildwell.com/training/training-locations,40.278000,-80.169600,City-level geocode; address ready,Medium,Company source verified,https://www.wildwell.com/training/training-locations,Appalachian training/safety support location for well-control training and emergency preparedness; not a field-service yard unless confirmed.,Confirmed oilfield specific,V2.7 regional/national expansion,Existing V2.7 record,40.2780,-80.1696,,,City centroid / physical address needed,40.278000|-80.169600,1,Single marker; tooltip opens on hover
"Falcon Drilling, LLC",Drilling Contractor,Regional / Basin,High,102 Broadway St,Carnegie,PA,(412) 505-8135,http://www.falcondrilling.com/contact-falcon-drilling/,40.4094104,-80.0871864,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.falcondrilling.com/about-falcon-drilling/ ; https://www.falcondrilling.com/introduction-to-falcon-drilling/ ; https://maps.google.com/?cid=13992843337465444626 ; http://www.falcondrilling.com/contact-falcon-drilling/,"Marcellus/Utica drilling contractor with office in Carnegie, PA and satellite locations ; primary operating areas PA, WV and OH. ; Google Places profile matched Falcon Drilling; 102 Broadway St, Carnegie, PA 15106, USA; (412) 505-8135; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,40.4087,-80.0834,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,40.4094104|-80.0871864,1,Single marker; tooltip opens on click
Kriebel Energy / Kriebel Well Services,Operator / Well Services / Conventional Gas Support | Well Service / Production / Conventional Operations,Local / Regional | Regional / Appalachia,High,633 Mayfield Drive,Clarion,PA,814-226-4160,https://www.kriebelcompanies.com/,41.214800,-79.385300,City-level geocode; address ready,Medium,Public/company-adjacent source; direct call to qualify service offering | Company/source verified; direct-call before use,https://www.clarioncountyedc.com/community-partners/meet-our-investors/p/item/26776/kriebel-energy ; https://www.legis.state.pa.us/WU01/LI/TR/Transcripts/2017_0060_0012_TSTMNY.pdf | https://www.kriebelcompanies.com/,Kriebel Companies include Kriebel Well Services and operate conventional gas wells in western PA; qualify specific services available to third parties. | Appalachian conventional oil/gas service and operations lead; branch/service scope needs confirmation.,Confirmed oilfield specific,V2.4 specialty/service expansion | V2.8 city-adjacent expansion,Existing V2.7 record | V2.8 town/city adjacency expansion,41.2148,-79.3853,,Kept best record; merged/removed 1 duplicate(s): Kriebel Well Services / Kriebel Energy Services,City centroid / physical address needed,41.214800|-79.385300,1,Single marker; tooltip opens on hover
USA Compression Partners - Northeast Region,Compression / Gas Services,Regional / Appalachia,High,Regional office / exact address pending,Connellsville,PA,Needs direct confirmation,https://usacompression.com/,40.017900,-79.589500,City-level geocode; exact office pending,High,Company operating region; direct verification required,https://usacompression.com/about/where-we-operate/ ; https://usacompression.com/contact/,Appalachian compression support placeholder; verify Connellsville/Montrose/northeast service center addresses during branch extraction.,Confirmed oilfield gas compression,Regional support placeholder,Existing V2.7 record,40.0179,-79.5895,,,City centroid / physical address needed,40.017900|-79.589500,1,Single marker; tooltip opens on hover
Reliance Well Services - Erie Office,Frac / Pressure Pumping,Regional / Multi-basin,High,"510 Cranberry St., Ste 301",Erie,PA,814-454-1644,https://www.reliancewellservices.com/,42.129200,-80.085100,City-level geocode; address ready,High,Company website verified; direct call recommended,https://www.reliancewellservices.com/about ; https://www.reliancewellservices.com/contact,Privately held hydraulic frac company operating in Appalachian and Illinois Basins.,Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,42.1292,-80.0851,,,City centroid / physical address needed,42.129200|-80.085100,1,Single marker; tooltip opens on hover
Keystone Clearwater Solutions - Hallstead,Water Management / Transfer,Regional / Multi-basin,High,41 Taylor Ln,Hallstead,PA,Needs direct confirmation,https://keystoneclear.com/,41.962000,-75.743500,City-level geocode; address ready,High,Source verified; direct call recommended,https://keystoneclear.com/ ; https://keystoneclear.com/about/news-item/keystone-clearwater-solutions-announces-expansion-of-automated-water-transfer-services-to-permian-basin/ ; https://www.linkedin.com/company/keystone-clearwater-solutions,"Keystone Clearwater states it has multiple locations in the Appalachian and Permian Basins and provides oil & gas water transfer, pumping, treatment and storage services.",Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,41.962,-75.7435,,,City centroid / physical address needed,41.962000|-75.743500,1,Single marker; tooltip opens on hover
Keystone Clearwater Solutions - Hershey HQ,Water Management / Transfer,Regional / Multi-basin,High,34 Northeast Dr,Hershey,PA,(717) 508-0550,https://keystoneclear.com/,40.2917251,-76.64922969999999,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://keystoneclear.com/ ; https://keystoneclear.com/about/news-item/keystone-clearwater-solutions-announces-expansion-of-automated-water-transfer-services-to-permian-basin/ ; https://www.linkedin.com/company/keystone-clearwater-solutions ; https://maps.google.com/?cid=18380686529864437466,"Keystone Clearwater states it has multiple locations in the Appalachian and Permian Basins and provides oil & gas water transfer, pumping, treatment and storage services. ; Google Places profile matched Keystone Clearwater Solutions, LLC Hershey (Corp. HQ); 34 Northeast Dr, Hershey, PA 17033, USA; (717) 508-0550; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,40.2859,-76.6502,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,40.2917251|-76.64922969999999,1,Single marker; tooltip opens on click
Falcon Drilling,Drilling Contractor,Regional,High,1120 US-119,Indiana,PA,(412) 489-5881,http://falcondrilling.com/,40.6841573,-79.0997303,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.falcondrilling.com/about-falcon-drilling/ ; https://maps.google.com/?cid=12373753319495887554 ; http://falcondrilling.com/,"Appalachian drilling contractor already in V2.4 ; keep high-priority for PA/OH/WV/VA/KY drilling search. ; Google Places profile matched Falcon Drilling Co Llc; 1120 US-119, Indiana, PA 15701, USA; (412) 489-5881; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,40.6215,-79.1525,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,40.6841573|-79.0997303,1,Single marker; tooltip opens on click
"Franklin Well Services, LLC",Cementing / Drilling Fluids / Stimulation / Completion Services,Regional / Illinois Basin,High,400 Main St,Vincennes,IN,(812) 494-2800,http://www.franklinwell.com/,38.6783209,-87.53044299999999,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://franklinwell.com/contact.html ; https://www.linkedin.com/company/franklin-well-services-llc ; https://www.latlong.net/place/vincennes-in-usa-32388.html ; https://maps.google.com/?cid=2722302928866575256 ; http://www.franklinwell.com/,"Corrected from Indiana, PA to Vincennes, IN. Company contact page lists corporate office at 400 Main St, Vincennes, IN 47591, plus field offices in Lawrenceville and Fairfield, IL. ; Google Places profile matched Franklin Well Services; 400 Main St, Vincennes, IN 47591, USA; (812) 494-2800; status OPERATIONAL; researched 2026-06-24","Confirmed oilfield-specific: drilling fluids, cementing, stimulation and completion services",Map-profile-enriched provider,V2.18 user correction / source cleanup,38.678299,-87.522491,,Location corrected from PA to IN ; Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,38.6783209|-87.53044299999999,1,Single marker; tooltip opens on click
"Miller Supply of Pennsylvania, Inc. - Indiana",Oilfield Supply / OCTG / Pipe Yard,Regional / Appalachian multi-location,High,Location to verify,Indiana,PA,(800) 621-8356,https://kenmillersupply.com/,40.621500,-79.152500,City-level geocode; address needs verification,High,Company location list verified; address needs direct call,https://kenmillersupply.com/locations/,Listed by company as one of six Appalachian Basin locations.,Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,40.6215,-79.1525,,,City centroid / physical address needed,40.621500|-79.152500,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Horizontal Wireline Services,Wireline / Perforating / Logging,Regional / Multi-basin,High,381 Colonial Manor Rd,Irwin,PA,(724) 382-5012,https://horizontalwireline.com/,40.3365893,-79.7592932,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://horizontalwireline.com/perforating-services/ ; https://www.linkedin.com/company/horizontal-wireline-services ; https://maps.google.com/?cid=14270691378972135708 ; https://horizontalwireline.com/,"Independent logging and perforating provider headquartered in Irwin, PA with experience in Marcellus, Utica and other major U.S. basins. ; Google Places profile matched Horizontal Wireline Services; 381 Colonial Manor Rd, Irwin, PA 15642, USA; (724) 382-5012; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,40.324,-79.7012,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,40.3365893|-79.7592932,1,Single marker; tooltip opens on click
"DTA, L.P.",Water Hauling / Brine Hauling,Regional / Appalachia,High,2045 Lisbon Rd,Kennerdell,PA,(814) 385-6967,http://www.dtalp.com/,41.2651634,-79.81064599999999,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.dtalp.com/oil-and-gas/ ; https://www.dtalp.com/locations/ ; https://maps.google.com/?cid=7855845178236654731 ; http://www.dtalp.com/,"DTA states it services the Appalachian Basin oil and gas industry with water and brine hauling and aggregate supply. ; Google Places profile matched DTA LP; 2045 Lisbon Rd, Kennerdell, PA 16374, USA; (814) 385-6967; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,41.2662,-79.8237,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,41.2651634|-79.81064599999999,1,Single marker; tooltip opens on click
Keystone Clearwater Solutions - Mansfield,Water Management / Transfer,Regional / Multi-basin,High,16064 Route 6,Mansfield,PA,Needs direct confirmation,https://keystoneclear.com/,41.807300,-77.077500,City-level geocode; address ready,High,Source verified; direct call recommended,https://keystoneclear.com/ ; https://keystoneclear.com/about/news-item/keystone-clearwater-solutions-announces-expansion-of-automated-water-transfer-services-to-permian-basin/ ; https://www.linkedin.com/company/keystone-clearwater-solutions,"Keystone Clearwater states it has multiple locations in the Appalachian and Permian Basins and provides oil & gas water transfer, pumping, treatment and storage services.",Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,41.8073,-77.0775,,,City centroid / physical address needed,41.807300|-77.077500,1,Single marker; tooltip opens on hover
Universal Well Services,Cementing / Pressure Pumping / Well Services,Regional / Appalachian,High,,Meadville,PA,,,41.641400,-80.151400,City-level geocode; exact address pending,Medium,Public source; company status/direct source needs verification,https://marcellusdrilling.com/category/energy-services/universal-well/,"Meadville, PA pressure-pumping/cementing/well service company historically tied to Appalachian conventional and Marcellus activity; qualify current status.",Confirmed oilfield specific,V2.4 specialty/service expansion,Existing V2.7 record,41.6414,-80.1514,,,City centroid / no physical address,41.641400|-80.151400,1,Single marker; tooltip opens on hover
Highlands Drilling,Drilling Contractor,Regional / Basin,High,"130 Meadow Ridge Road, Suite 44",Mount Morris,PA,800-331-0175 / 304-291-0175,https://highlandsdrilling.com/,39.733400,-80.070100,City-level geocode; address ready,High,Company source verified,https://highlandsdrilling.com/company/ ; https://highlandsdrilling.com/contact/,"Contract drilling company headquartered in Mt. Morris, PA; oil and gas, solution mining, CCS and resource-management drilling.",Confirmed oilfield specific,V2.4 specialty/service expansion,Existing V2.7 record,39.7334,-80.0701,,,City centroid / physical address needed,39.733400|-80.070100,1,Single marker; tooltip opens on hover
Kriebel Energy Services,Oilfield Services / Well Service / Production Services,Regional,High,,Pennsylvania,PA,Needs direct confirmation,,41.203300,-77.194500,State-level placeholder; exact office pending,High,User-provided; direct call required,User-provided lead,"Appalachian service-provider lead mentioned by RD; qualify service lines, locations, and oilfield-specific support.",Likely oilfield specific; needs direct qualification,User-requested lead,Existing V2.7 record,41.2033,-77.1945,,,City centroid / no physical address,41.203300|-77.194500,1,Single marker; tooltip opens on hover
Allegheny Control Products,Artificial Lift / Controls / Production Equipment,Regional / Appalachia,High,City-level; exact address pending,Pittsburgh,PA,Needs direct confirmation,https://alleghenycontrolproducts.com/,40.440600,-79.995900,City-level geocode; exact address pending,High,User-provided vendor; source expansion pending,https://alleghenycontrolproducts.com/,Artificial lift systems and production-control support; add direct-source validation in next pass.,Likely oilfield specific; verify products/services,Regional provider / needs verification,Existing V2.7 record,40.4406,-79.9959,,,City centroid / physical address needed,40.440600|-79.995900,5,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Hower Well Services,Workover / Well Service,Local / Regional,Medium,City-level office/camp; exact street address pending,Flora,IL,Needs direct confirmation,,38.668900,-88.485600,City corrected; exact address verification pending,Medium,Location corrected from user-confirmed information 2026-06-22,User-confirmed location; public source/direct call pending,Flora location corrected from erroneous Pittsburgh placeholder; verify exact address and rig availability.,User-provided lead; oilfield-specific fit to confirm by service line,Lead / vendor candidate,V2.14 User requested service-category expansion,40.4406,-79.9959,,Location corrected from Pittsburgh PA to Flora IL 2026-06-22,City centroid / physical address needed,38.668900|-88.485600,1,Single marker; tooltip opens on hover
Hunt Geophysical,Seismic / Geophysical Consulting,Regional,High,Pittsburgh-area office,Pittsburgh,PA,Needs direct call,https://www.huntgeop.com/,40.440600,-79.995900,City-level geocode,High,Company source verified,https://www.huntgeop.com/,2D/3D seismic acquisition/interpretation/mapping and Marcellus/Utica geophysical support; relevant to DOG and Appalachian work.,Confirmed oilfield specific,Regional seismic/geophysical provider,V2.9 Coring-Seismic expansion,40.4406,-79.9959,,,City centroid / physical address needed,40.440600|-79.995900,5,Stacked at city/coordinate; expands on hover; tooltip opens on hover
